Depth,GR,RT,nphi,sw,PHIE,VSH,RHOB,VS,VP,pimpmod,simpmod,vpvsmod,EPSILON,GAMA,DELTA,c11,c13,c33,c44,c66,a,b,c,a_ratio,b_ratio,c_ratio,crack_density,profundidad,VP_0,VP_45,VP_90,VP_Backus_5,VP_Backus_10,VP_Backus_15,VP_Backus_20,VP_Backus_30,VP_Backus_50,VP_Backus,Diff_Backus,Diff_Backus_%,RF_pred_VP_0,PNN_pred_VP_0,CNN_pred_VP_0,RF_pred_VP_45,PNN_pred_VP_45,CNN_pred_VP_45,RF_pred_VP_90,PNN_pred_VP_90,CNN_pred_VP_90,RF_pred_VP_Backus,PNN_pred_VP_Backus,CNN_pred_VP_Backus
2499.9695,84.4731,1.2422,0.386,1,0.0059,0.847,2.4167,1873.2283,3530.54,8532.2559,4527.0308,1.8847,0.084995,0.127227,0.067878,35244160025,22571071755,30123471162,8480162271,10637973481,8532256.018,8610052859,3843.739934,0.016237967,0.048379552,0.018645445,0.026169692,0,3530.54,3665.47106,3830.618247,3552.465504,3513.109462,3490.629295,3492.115946,3489.109677,3499.049807,3513.109462,-17.43053785,-0.493707417,3530.625255,3522.374682,3516.9763,3665.034226,3661.892479,3621.4084,3829.828549,3818.440023,3736.2642,3491.455057,3459.809208,3368.569
2500.1221,86.3101,1.2168,0.3834,1,0.0036,0.8685,2.4158,1919.3719,3589.6736,8671.9336,4636.8188,1.8702,0.08703,0.130383,0.069552,36547795908,23141035168,31129410684,8899779395,11220539269,8671933.483,9036844103,3916.080492,0.000154439,-0.002899531,-0.000599652,0.026779804,1,3589.6736,3730.193168,3902.082893,3524.207763,3500.895854,3482.53674,3490.967059,3483.790513,3496.49878,3500.895854,-88.77774613,-2.473142576,3589.752343,3561.547592,3574.6309,3729.586019,3698.911257,3684.8435,3902.262478,3865.356899,3812.0908,3496.439801,3483.625972,3410.0916
2500.2744,84.7359,1.2587,0.3848,1,0.0024,0.8843,2.4213,1914.1611,3582.0728,8673.2725,4634.7583,1.8714,0.08855,0.132717,0.070792,36570489853,23206136388,31068294837,8871673991,11226517905,8673272.871,9010679443,3913.732911,-0.04795989,-0.153200619,-0.052130991,0.027231506,2,3582.0728,3724.766461,3899.265346,3495.85019,3482.288298,3479.493115,3489.442913,3483.872091,3494.091408,3482.288298,-99.78450167,-2.785663699,3582.102008,3559.135094,3577.7742,3723.935436,3697.379153,3689.6145,3899.362542,3864.232648,3815.85,3485.747503,3482.901458,3414.1187
2500.4268,88.7858,1.2801,0.3853,1,0.0016,0.899,2.4349,1767.0876,3395.261,8267.1211,4302.6816,1.9214,0.08998,0.134898,0.071952,33120336820,21954713741,28069033544,7603215297,9654532372,8267121.009,7730780746,3714.932973,-0.001004261,-0.002804174,-0.000357814,0.027653802,3,3395.261,3532.711351,3700.766585,3471.745376,3471.010416,3477.972484,3480.912651,3485.558674,3491.708176,3471.010416,75.74941589,2.231033664,3395.34992,3387.819013,3460.6553,3533.236759,3519.685685,3572.833,3700.971399,3680.051792,3669.2678,3466.055898,3403.257553,3343.2756
2500.5791,92.1009,1.2283,0.3869,1,0.0014,0.9031,2.4343,1764.7506,3392.689,8258.8223,4295.9321,1.9225,0.09038,0.135507,0.072276,33084443415,21955544743,28019617377,7581249255,9635873941,8258822.833,7709132658,3713.603958,0.006969254,0.019996248,0.002103433,0.027771666,4,3392.689,3530.649306,3699.320232,3424.359877,3459.021314,3475.955679,3474.614213,3486.784927,3491.071378,3459.021314,66.33231449,1.955154584,3392.870998,3385.81742,3461.3257,3531.438708,3517.901671,3573.9023,3699.74537,3678.689118,3670.0103,3455.759372,3402.365954,3344.2324
2500.7317,87.2015,1.2253,0.3888,1,0.0035,0.8694,2.4382,1781.6798,3410.9514,8316.582,4344.0918,1.9145,0.087115,0.130515,0.069622,33309917864,21914482482,28367456005,7739780410,9760095291,8316581.703,7864837960,3721.423496,-0.003651865,-0.025781828,-0.023070954,0.026805282,5,3410.9514,3544.606972,3708.096431,3393.206993,3454.519252,3464.678796,3468.757022,3488.418053,3490.279526,3454.519252,43.56785171,1.277293242,3410.860329,3399.21219,3455.2534,3544.987657,3529.256471,3563.2798,3708.502059,3686.60413,3662.029,3456.735402,3407.414892,3335.4133
2500.884,84.3019,1.2764,0.3859,1,0.0116,0.8149,2.4735,1746.8967,3350.0166,8286.2656,4320.9492,1.9177,0.08207,0.122583,0.065424,32315512263,21230617633,27759128853,7548251527,9398826161,8286266.06,7664659634,3636.549531,0.020195909,0.061334722,0.020244631,0.025275829,6,3350.0166,3473.543437,3624.952462,3396.202549,3452.271411,3456.363948,3460.876989,3489.820312,3488.024403,3452.271411,102.2548111,3.052367296,3350.011366,3361.688612,3453.2239,3475.389566,3488.544271,3549.5303,3625.741862,3642.134397,3655.4626,3440.559091,3386.17725,3327.949
2501.0364,92.1742,1.2622,0.3772,1,0.0112,0.8168,2.4738,1801.4604,3417.9465,8455.3164,4456.4526,1.8973,0.08224,0.122856,0.065568,33653259954,21737372009,28899817905,8028123131,10000729322,8455316.052,8149485761,3710.9204,-0.003854961,-0.007058169,-0.003806707,0.025328278,7,3417.9465,3544.246459,3699.03842,3414.154193,3443.749171,3448.640431,3460.997754,3489.425502,3483.887564,3443.749171,25.8026712,0.754917352,3417.913271,3417.272574,3481.0457,3544.353147,3542.67435,3580.071,3698.929635,3694.88864,3694.1028,3438.88628,3420.183469,3342.1145
2501.1887,89.1823,1.2819,0.363,1,0.016,0.7987,2.4698,1796.733,3410.3101,8422.7842,4437.5713,1.8981,0.08067,0.120285,0.064216,33358684314,21527533619,28724304953,7973130549,9891226565,8422783.885,8092167833,3696.820869,0.014974878,0.061445102,0.018523458,0.024836803,8,3410.3101,3533.836647,3685.419816,3433.014697,3422.392589,3438.262909,3463.495108,3483.804143,3481.216157,3422.392589,12.08248877,0.354292965,3410.508897,3410.753009,3468.1729,3534.080142,3534.548557,3564.2615,3686.888541,3684.987558,3676.36,3439.702975,3416.805004,3332.6355
2501.3413,91.9276,1.28,0.3512,1,0.0304,0.7624,2.4539,1859.3718,3484.1938,8549.8633,4562.7129,1.8739,0.07776,0.115272,0.0616,34422224647,21664483685,29789380233,8483778880,10439663198,8549863.166,8604985650,3765.936931,0.031175922,0.06933889,0.005006714,0.023889948,9,3484.1938,3605.583112,3755.12471,3463.359286,3423.412237,3434.748155,3465.311588,3482.979444,3482.251262,3423.412237,-60.78156277,-1.744494315,3484.640165,3492.005455,3466.7522,3605.920387,3620.536924,3561.3281,3758.614593,3769.656336,3679.132,3441.426883,3450.525829,3329.7766
